time,x,y,z,phi,theta,psi,x_velocity,y_velocity,z_velocity,phi_velocity,theta_velocity,psi_velocity,rotor_speed1,rotor_speed2,rotor_speed3,rotor_speed4
0.06,-7.883085601063581e-06,6.139776152344295e-07,10.006650967107905,6.772892717332724e-05,0.001979510401576512,0.0,-0.00048325486434231264,3.3747269325964966e-05,0.22168125744938552,-0.004293039698472268,0.014259058374686523,0.0,473.2549073744029,474.350894455153,474.2407600626594,473.9109843939661
0.12000000000000001,-8.226993670523234e-05,6.589045643748041e-06,10.023025493661692,0.0005589192494479533,0.0030170050078535127,0.0,-0.0021086314222176195,0.00022670915107737247,0.3241118413638918,-0.015047743463128708,0.008234713264886302,0.0,438.1780549787668,437.67692024917943,437.9942983249103,437.09920301542473
0.18,-0.0002874899170273907,6.067611834164825e-05,10.046729732115544,0.007020159076561505,0.005831054552229986,0.0,-0.005055754130122206,0.002308895538113862,0.4659782809181773,-0.04599903097766718,-0.009693532710373218,0.0,450.6703571173096,449.2191232254536,451.55040990291184,449.046845105196
0.23999999999999996,-0.0007067795513476862,0.0003302705567229757,10.077062734885788,0.0043615484843755326,0.005489499952254562,0.0,-0.0088932125442627,0.006419223045338898,0.5450886146788038,-0.05088716941001902,-0.016393265284973257,0.0,430.03622789831985,429.468544909571,431.3950649173619,430.98072585660304
0.3,-0.001385189510294251,0.0008034849283296443,10.115060121059452,0.001442430834742936,0.010324903147896691,0.0,-0.014239095387893828,0.00902956983220039,0.7213932539818557,-0.05627485746171364,0.008858971698266134,0.0,459.67051606997353,461.6670727347286,461.17733228775506,460.7499389959229
0.36000000000000004,-0.0024870169959479724,0.0013719148278425206,10.164403909128986,6.282676826325163,0.010950962013259513,0.0,-0.022557551223390263,0.009706385110530463,0.9232576594689447,-0.07060953772672957,0.011234234602394193,0.0,467.8657672069598,468.0505086606882,469.9517930704203,468.83706414142097
0.4200000000000001,-0.004109286583992505,0.0019343257407518268,10.223972486361843,6.280727910534916,0.017849381789280194,0.0,-0.03229082122882676,0.008814213408922515,1.0622316533792466,-0.0551978961224313,-0.017321964451668677,0.0,451.3281132083858,449.01769723193223,449.18647165262973,450.4312605635112
0.48000000000000015,-0.006442779887372264,0.002418145543611821,10.292294013679594,6.28264351042718,0.017738026292984266,0.0,-0.04546711256447802,0.007552955628366242,1.2150030524542101,-0.08147291897363952,-0.007901465652578621,0.0,454.6539011777481,455.40806473420974,455.04250832651417,452.9315622933994
0.5400000000000001,-0.009499883579570557,0.0028457646466150733,10.36594934353087,6.278169359306052,0.018248216486850488,0.0,-0.05649338501621339,0.006288846501929329,1.2401454562549517,-0.07552162818079514,-0.020035528866290193,0.0,414.2975350894054,413.2294875878336,413.99700589107994,414.5146911430738
0.6000000000000002,-0.013315545393980503,0.003108853456532245,10.446287367237892,6.2786839247456605,0.01714601581510422,0.0,-0.07056877104174394,0.002572314341567888,1.4375637576552713,-0.10135839821207922,-0.024900563945220337,0.0,468.78564474046016,468.4075137128804,469.1006430977566,467.0847981951992
0.6600000000000003,-0.017919094731598723,0.0031504157883879176,10.536733929808198,6.2748347696507025,0.01588767180098749,0.0,-0.08273972782584149,-0.001581872046721161,1.5771392960174258,-0.1189701628581456,-0.020648776191049184,0.0,451.2051885647048,451.5482344329825,452.032877735124,450.6015947298064
0.7200000000000003,-0.02325995625504864,0.002870140159432453,10.635568271255735,6.273688320676936,0.023539406050560707,0.0,-0.09607720123530908,-0.007851486797796167,1.717122550590774,-0.14701225435108775,0.010836380202307584,0.0,450.60656458151436,453.1444941553189,453.01817091015255,450.7430274749512
0.7800000000000004,-0.02965500446418317,0.002104351940743406,10.747557892269523,6.265082654894364,0.02420255273016636,0.0,-0.11717100976854007,-0.018791062045821864,2.0153714503982045,-0.15343345423514607,0.00790559874382904,0.0,498.4171526308889,498.2027935173759,499.2685717846235,498.78165367050616
0.8400000000000004,-0.037253378907567615,0.0005175605956682197,10.874155003312705,6.256681029270013,0.024968749486913744,0.0,-0.13618274523866652,-0.03507229047266667,2.2041640656075634,-0.14473656745675123,0.012744090881886428,0.0,467.8503297497189,468.22675433686027,467.97379194236413,468.63017781964663
0.9000000000000005,-0.04593224306000772,-0.0021493196625805193,11.008833891754037,6.248750848083848,0.02635936507469605,0.0,-0.15325687721344122,-0.05461362773797609,2.284945384109499,-0.13634982066450113,0.00279444509105772,0.0,435.6999368610173,434.8672186584884,435.7112572707862,436.3926434648172
0.9600000000000005,-0.05585366646144303,-0.0063791888893946465,11.155222103293193,6.243480793747665,0.02958664599246852,0.0,-0.1778451899603208,-0.08703177012410908,2.593974521950072,-0.15627918931125137,0.020793256853713457,0.0,502.5325309242752,503.83533898983944,505.12747159233004,503.6718469419538
1.0200000000000005,-0.06724989562566608,-0.01260291109781287,11.317433222276385,6.23459571061338,0.03111172139397933,0.0,-0.20220513314909017,-0.12145494907966978,2.8124961820979175,-0.1652547335233415,0.013699331862761632,0.0,479.37478869269336,478.8353635586938,480.2571023720843,479.55380509175177
1.0800000000000005,-0.07998777675452558,-0.02083264461431287,11.487797897641213,6.232599647262202,0.0322485161814301,0.0,-0.22250264942707942,-0.15302062482162193,2.8661760991924132,-0.19730632719878113,0.0062367209899851055,0.0,430.46609204727855,429.83401145538426,431.37055839259733,428.62428337891976
1.1400000000000006,-0.0940979332662609,-0.031243118894176292,11.66555600059277,6.222625297234234,0.03263637342629622,0.0,-0.24786893537158733,-0.19510283491289704,3.058529078481878,-0.21351190680198395,0.003282229607038228,0.0,473.4632664635651,473.23581044895633,473.9147083554721,472.62982734134175
